trade_date,positions,daily_return,equity
20250529,10,-0.011847329139709442,1.7386145104555462
20250530,10,0.012683403491973892,1.7606660598086543
20250603,10,0.00799261927604673,1.774738393296962
20250604,10,0.00212153196334841,1.7785035575249228
20250605,10,0.009688013792037969,1.7957337245194127
20250606,10,0.008272314071655271,1.8105885978777003
20250609,10,-0.00434873104095458,1.802714835039711
20250610,10,-0.005105859041214,1.793510427200493
20250611,10,0.00927957892417908,1.810153448761038
20250612,10,-0.018367356061935382,1.7769057158409036
20250613,10,0.005069732666015599,1.785914152792932
20250616,10,4.956126213071996e-05,1.7860026649524017
20250617,10,0.00037738680839540846,1.7866766787979138
20250618,10,-0.016475707292556707,1.757239916811602
20250619,10,-0.0068251669406891105,1.7452464610245202
20250620,10,0.009073436260223378,1.7610818435470066
20250623,10,0.0016401648521423098,1.7639703080885383
20250624,10,0.00444614887237546,1.77181318268475
20250625,10,-0.00156223177909849,1.7690451998241343
20250626,10,-0.00055504441261292,1.7680633011703122
20250627,10,-0.00393425822257996,1.761107283589641
20250630,10,0.00428684353828429,1.7686568749685228
20250701,10,0.009991532564163201,1.786328467729602
20250702,10,0.0018315672874450596,1.7896002485157276
20250703,10,-0.01618894934654232,1.7606285007419469
20250704,10,0.02114447951316832,1.7978560740061853
20250707,10,0.01745606660842893,1.8292395693864059
20250708,10,0.00723173022270205,1.8424681364649
20250709,10,0.02591779232025142,1.8902208429824778
20250710,10,0.01196411848068234,1.9128356691025752
20250711,10,-0.013607180118560769,1.8868073696158887
20250714,10,-0.01537253260612483,1.857802361804992
20250715,10,0.007310038805007929,1.871382969161822
20250716,10,7.759332656861002e-05,1.871528175991683
20250717,10,0.006823265552520709,1.884298109725499
20250718,10,0.016504520177841167,1.9153975458985313
20250721,10,0.01785438656806943,1.949595794114535
20250722,10,-0.012350821495056109,1.9255166844739142
20250723,10,0.00867545604705808,1.9422214198379446
20250724,10,-0.01250407695770259,1.9179357337353926
20250725,10,0.00028955936431885037,1.9184910899872574
20250728,10,-0.00886808633804317,1.9014777453624838
20250729,10,-0.00368861556053161,1.8944639249629354
20250730,10,-0.02103805541992183,1.8546080879185225
20250731,10,0.00240660309791564,1.8590713934883267
20250801,10,0.0057644367218017195,1.8697878928974019
20250804,10,0.00888608098030088,1.8864029795296744
20250805,10,-0.004742747545242311,1.8774562464291722
20250806,10,0.0063541412353515705,1.8893858685821763
20250807,10,0.0028881669044494703,1.8948427303175497
20250808,10,0.02494797706604001,1.9421152232972643
20250811,10,0.025703030824661237,1.9920334707467178
20250812,10,0.010004508495330819,2.011962786527787
20250813,10,-0.004419249296188351,2.003071421399467
20250814,10,-0.0043704330921173,1.9943171317735084
20250815,10,0.00620762109756468,2.0066970968759406
